Sale_ID,Appt_ID,Transaction_Date,Total_Charge,Payment_Type,Credit_Transaction
1,1,04/28/2014,105.52,Amex,180.246.129.70
2,2,05/27/2022,248.41,Cash,
3,3,01/24/2014,231.94,Cash,
4,4,03/14/2023,95.83,Amex,236.207.53.16
5,5,03/02/2022,279.14,Mastercard,10.46.165.91
6,6,04/14/2014,60.95,Mastercard,185.233.141.124
7,7,06/13/2020,99.53,Mastercard,129.210.251.105
8,8,01/15/2019,268.83,Amex,64.20.92.36
9,9,11/11/2014,45.39,Venmo,253.188.106.241
10,10,07/15/2019,52.77,Mastercard,66.89.156.177
11,11,10/25/2016,91.43,Visa,166.159.71.128
12,12,03/23/2018,46.13,Cash,
13,13,12/18/2023,190.11,Cash,
14,14,08/20/2016,95.05,Amex,179.120.239.174
15,15,03/14/2019,169.82,Amex,112.254.24.230
16,16,09/12/2023,192.06,Cash,
17,17,10/08/2016,152.67,Visa,188.172.177.205
18,18,06/02/2019,284.05,Venmo,142.1.9.121
19,19,02/08/2022,110.90,Venmo,7.249.127.155
20,20,08/06/2018,36.48,Cash,
21,21,03/26/2014,267.38,Amex,160.22.101.204
22,22,03/17/2022,117.66,Mastercard,56.154.151.116
23,23,07/29/2020,33.39,Amex,32.104.42.56
24,24,05/11/2023,130.66,Visa,25.159.214.75
25,25,06/15/2021,199.88,Mastercard,239.55.156.224
26,26,12/17/2022,150.53,Mastercard,141.88.166.168
27,27,09/24/2021,186.88,Venmo,251.174.129.212
28,28,05/02/2021,49.70,Visa,10.109.50.155
29,29,08/24/2017,57.38,Venmo,216.82.250.69
30,30,01/24/2019,149.73,Visa,80.63.144.165
31,31,06/10/2018,60.91,Visa,34.183.35.90
32,32,07/03/2022,152.17,Cash,
33,33,02/04/2019,52.99,Amex,92.202.47.96
34,34,10/04/2018,91.64,Mastercard,212.244.240.145
35,35,09/27/2020,157.15,Mastercard,158.72.219.140
36,36,12/27/2015,60.95,Venmo,123.228.145.48
37,37,09/05/2020,291.74,Cash,
38,38,01/28/2023,276.65,Mastercard,64.52.223.210
39,39,10/02/2015,255.48,Visa,210.186.79.221
40,40,12/05/2021,246.99,Mastercard,183.18.46.169
41,41,09/15/2017,183.09,Mastercard,231.68.217.209
42,42,07/24/2019,245.21,Cash,
43,43,05/23/2023,37.27,Mastercard,224.132.92.199
44,44,11/12/2020,179.55,Mastercard,99.73.75.241
45,45,11/19/2015,263.09,Mastercard,89.213.176.192
46,46,04/30/2018,257.49,Mastercard,215.112.8.79
47,47,12/17/2015,156.64,Venmo,227.147.77.216
48,48,07/27/2014,297.79,Amex,144.149.10.23
49,49,09/24/2018,183.12,Mastercard,123.34.6.237
50,50,01/31/2018,236.96,Visa,142.219.92.75
51,51,01/18/2019,156.34,Visa,53.50.123.186
52,52,10/15/2019,46.37,Venmo,152.11.254.3
53,53,12/21/2020,62.72,Venmo,32.87.131.97
54,54,12/07/2015,259.07,Amex,0.117.178.197
55,55,02/19/2014,257.27,Cash,
56,56,02/23/2017,265.55,Cash,
57,57,04/22/2024,292.53,Venmo,219.60.249.2
58,58,11/23/2015,59.97,Cash,
59,59,05/02/2014,177.01,Visa,42.45.210.33
60,60,01/16/2016,79.00,Visa,2.155.17.217
61,61,02/01/2020,216.46,Cash,
62,62,01/10/2021,199.60,Venmo,6.86.64.114
63,63,09/16/2017,238.62,Cash,
64,64,11/13/2019,243.69,Mastercard,224.7.77.179
65,65,12/13/2018,108.94,Mastercard,216.155.156.66
66,66,05/01/2020,32.83,Venmo,51.18.107.134
67,67,03/17/2020,97.85,Cash,
68,68,03/11/2021,76.97,Visa,76.136.47.237
69,69,04/13/2019,64.47,Mastercard,100.74.62.176
70,70,05/08/2024,185.56,Venmo,16.46.49.242
71,71,12/14/2017,82.24,Amex,68.254.9.61
72,72,07/17/2015,243.03,Venmo,234.175.29.145
73,73,03/12/2024,163.92,Cash,
74,74,01/22/2016,158.08,Cash,
75,75,01/28/2022,272.56,Amex,153.49.250.99
76,76,09/15/2019,266.57,Venmo,218.70.185.104
77,77,12/07/2015,66.77,Mastercard,34.110.76.97
78,78,11/23/2017,65.10,Visa,112.134.158.107
79,79,10/08/2016,68.69,Visa,149.84.198.90
80,80,05/20/2017,250.94,Cash,
81,81,01/16/2014,128.63,Cash,
82,82,01/22/2023,207.55,Mastercard,51.213.50.56
83,83,05/22/2018,41.72,Venmo,81.8.165.137
84,84,08/29/2020,59.78,Amex,23.205.148.22
85,85,05/31/2017,66.10,Cash,
86,86,11/06/2018,50.75,Mastercard,1.253.33.123
87,87,10/10/2015,268.78,Mastercard,128.224.121.35
88,88,07/02/2015,168.49,Visa,59.243.249.207
89,89,08/23/2020,195.60,Venmo,89.202.116.3
90,90,10/31/2017,66.91,Mastercard,144.31.173.201
91,91,01/15/2019,191.51,Venmo,163.218.10.93
92,92,12/11/2020,262.99,Venmo,59.33.25.185
93,93,08/29/2022,66.73,Venmo,3.167.105.165
94,94,08/24/2014,171.23,Amex,8.169.221.55
95,95,10/01/2015,245.48,Venmo,4.195.190.195
96,96,07/27/2015,40.25,Cash,
97,97,03/08/2023,275.51,Visa,118.135.3.203
98,98,03/31/2017,99.36,Amex,110.177.192.173
99,99,02/18/2024,219.40,Amex,103.6.242.179
100,100,04/23/2024,128.05,Visa,247.22.220.62
101,101,05/27/2021,193.75,Amex,44.100.152.180
102,102,09/08/2015,238.43,Venmo,141.183.178.248
103,103,06/20/2016,167.63,Cash,
104,104,09/17/2014,299.09,Cash,
105,105,11/13/2014,213.09,Venmo,0.14.96.255
106,106,12/24/2016,258.83,Mastercard,15.20.104.40
107,107,04/07/2018,161.02,Mastercard,188.251.139.29
108,108,09/02/2022,168.93,Amex,145.114.25.187
109,109,11/15/2015,236.42,Visa,14.52.84.76
110,110,07/12/2019,129.96,Amex,42.118.237.73
111,111,12/01/2018,212.23,Visa,116.35.174.178
112,112,04/03/2014,289.26,Mastercard,194.3.177.141
113,113,08/05/2017,65.12,Cash,
114,114,09/14/2022,215.27,Venmo,87.85.161.122
115,115,04/18/2019,69.00,Visa,141.208.78.254
116,116,07/17/2021,271.37,Cash,
117,117,01/20/2018,196.81,Visa,134.99.70.134
118,118,03/06/2022,279.49,Amex,133.189.212.96
119,119,11/23/2023,173.77,Cash,
120,120,12/13/2020,202.41,Mastercard,6.245.160.108
121,121,06/19/2017,153.80,Mastercard,12.81.72.89
122,122,03/11/2022,96.44,Cash,
123,123,10/28/2019,261.66,Venmo,122.110.240.60
124,124,03/22/2023,234.19,Mastercard,146.93.94.224
125,125,06/15/2016,269.19,Mastercard,63.100.169.67
126,126,01/15/2016,230.04,Mastercard,217.139.141.153
127,127,10/03/2022,207.02,Amex,26.97.216.220
128,128,03/03/2018,49.51,Cash,
129,129,08/17/2019,101.45,Mastercard,138.45.249.17
130,130,09/06/2018,244.48,Mastercard,176.51.94.44
131,131,12/08/2021,44.09,Amex,169.56.133.15
132,132,02/26/2016,292.64,Venmo,155.48.86.70
133,133,08/10/2019,215.55,Visa,80.30.31.226
134,134,02/04/2014,178.10,Venmo,180.78.45.131
135,135,01/11/2023,163.90,Mastercard,72.170.243.227
136,136,08/18/2022,282.26,Amex,94.18.107.104
137,137,08/17/2023,221.99,Mastercard,60.59.231.199
138,138,03/29/2023,133.55,Cash,
139,139,11/23/2020,158.45,Cash,
140,140,07/22/2017,171.50,Venmo,160.48.214.214
141,141,02/03/2015,199.86,Visa,19.167.230.241
142,142,01/10/2016,118.82,Visa,231.113.86.19
143,143,12/21/2022,122.30,Venmo,89.11.221.152
144,144,09/25/2016,174.13,Amex,102.91.28.56
145,145,06/23/2015,244.43,Visa,184.247.89.77
146,146,10/08/2015,70.17,Amex,194.102.215.235
147,147,05/01/2022,222.77,Venmo,241.52.134.139
148,148,04/26/2022,44.82,Visa,103.19.48.180
149,149,01/27/2022,136.19,Visa,117.146.82.188
150,150,01/31/2016,144.07,Venmo,222.67.106.71
151,151,04/15/2023,233.35,Visa,181.249.122.142
152,152,11/03/2023,284.03,Amex,86.106.127.96
153,153,12/23/2018,180.30,Amex,167.22.186.152
154,154,08/19/2014,290.05,Visa,39.92.12.253
155,155,04/14/2016,294.18,Visa,154.95.137.12
156,156,11/19/2017,295.58,Cash,
157,157,12/17/2017,37.96,Mastercard,81.105.165.129
158,158,12/05/2022,270.76,Venmo,78.1.60.28
159,159,04/02/2014,40.55,Amex,103.132.110.167
160,160,02/21/2016,233.23,Cash,
161,161,03/05/2016,88.91,Amex,155.173.80.27
162,162,03/29/2018,148.56,Cash,
163,163,03/23/2023,180.69,Cash,
164,164,10/04/2022,53.43,Amex,55.82.157.22
165,165,06/05/2018,271.89,Venmo,34.20.248.131
166,166,08/18/2023,294.49,Amex,208.238.190.10
167,167,06/22/2014,268.00,Mastercard,100.87.188.157
168,168,08/25/2014,286.44,Cash,
169,169,02/12/2016,291.82,Cash,
170,170,03/16/2017,262.71,Venmo,152.70.219.245
171,171,12/17/2018,293.61,Venmo,44.21.178.219
172,172,05/06/2018,90.85,Visa,161.37.115.214
173,173,06/22/2020,288.84,Amex,255.96.228.40
174,174,12/17/2020,30.62,Visa,34.211.206.232
175,175,10/10/2023,85.95,Cash,
176,176,01/05/2021,285.87,Cash,
177,177,05/05/2017,210.51,Venmo,210.6.78.217
178,178,01/07/2016,243.04,Visa,78.159.232.39
