Vendor_ID,Vendor_Name,Street,City,State,Zip_Code,Phone,Email,Website
1,Jaxbean,76 Di Loreto Plaza,Greensboro,NC,27409,336-654-7114,apadberry0@bloomberg.com,mashable.com
2,Bluejam,7787 Fieldstone Parkway,Austin,TX,78759,512-610-3550,ksantori1@hugedomains.com,webeden.co.uk
3,Devshare,8662 Susan Point,Milwaukee,WI,53285,414-208-2641,lduncklee2@vinaora.com,bbc.co.uk
4,Feednation,0395 Lerdahl Court,Boca Raton,FL,33432,561-238-6955,mfarndale3@fastcompany.com,nba.com
5,Brainverse,6 Shoshone Drive,Greensboro,NC,27425,336-397-2843,oduddell4@addtoany.com,wordpress.com
6,Tagtune,6 Hauk Plaza,Lima,OH,45807,419-537-8032,jmattosoff5@comcast.net,yellowbook.com
7,Rhybox,132 Dunning Lane,Denver,CO,80204,303-707-4925,glethlay6@nasa.gov,shutterfly.com
8,Youfeed,1216 Center Drive,Birmingham,AL,35220,205-659-1602,mzincke7@google.com.au,uol.com.br
9,Blogpad,3758 Spohn Way,Los Angeles,CA,90081,213-213-1169,kdeantoni8@earthlink.net,1688.com
10,Katz,7 Oxford Center,Fresno,CA,93794,559-941-8183,tcolter9@blogger.com,cbc.ca
11,Topicblab,6088 Goodland Lane,Everett,WA,98206,425-172-1440,ddoucettea@rakuten.co.jp,github.com
12,Mycat,704 Caliangt Crossing,Rochester,NY,14639,585-861-3371,mweatherhillb@blogger.com,wordpress.com
13,Skyndu,597 Nancy Plaza,Springfield,MA,01129,413-713-7190,agergusc@alibaba.com,devhub.com
14,Bubbletube,19 Di Loreto Pass,Santa Fe,NM,87592,505-425-8036,vabrahamsond@ibm.com,tamu.edu
15,Innojam,276 Buell Crossing,Provo,UT,84605,801-425-8203,dkantere@house.gov,diigo.com
16,Abatz,8339 Village Green Circle,Lansing,MI,48901,517-143-2649,tskirvinf@adobe.com,amazon.de
17,Youtags,357 Randy Alley,Milwaukee,WI,53220,414-627-8746,dledekerg@uiuc.edu,omniture.com
18,Babbleset,17727 Blue Bill Park Trail,Johnstown,PA,15906,814-978-9149,mbambletth@forbes.com,microsoft.com
19,Tagtune,3095 Autumn Leaf Road,West Palm Beach,FL,33416,561-556-2589,driedeli@salon.com,hp.com
20,Edgeblab,3158 Mccormick Way,Philadelphia,PA,19178,215-162-5200,adelaundej@statcounter.com,arstechnica.com
21,Livetube,7447 Monument Drive,New York City,NY,10004,917-426-5476,fgreenallk@squarespace.com,nih.gov
22,Zoovu,35 Village Green Point,Metairie,LA,70005,504-416-1314,rdockrelll@auda.org.au,craigslist.org
23,Tagfeed,81729 Erie Plaza,Detroit,MI,48242,248-213-0120,trileym@example.com,mayoclinic.com
24,Youtags,025 Bowman Pass,Concord,CA,94522,925-694-9916,cdockrayn@hhs.gov,tiny.cc
25,Photojam,206 Garrison Road,Lubbock,TX,79410,806-663-2224,bdemongeo@yale.edu,mashable.com
